Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
Group;TTXXXX;Commodities;"A basic good used in commerce that is interchangeable with other commodities of the same type. Commodities are most often used as inputs in the production of other goods or services.";
Attribute;FirstAttribute;Type of commodity;;
AttributeValue;TTEXXX;E;Extraction resources (metals, precious metals, coal, oil, gas);
AttributeValue;TTAXXX;A;Agriculture (commodities which include forestry, fishing, livestock, grain, dairy, corn, cocoa, soybeans, sugar, coffee);
AttributeValue;TTIXXX;I;Industrial products (construction, manufacturing);
AttributeValue;TTSXXX;S;Services (transportation, communication, trade);
AttributeValue;TTNXXX;N;Environmental (includes carbon-related, emission reduction, weather);
AttributeValue;TTPXXX;P;Polypropylene products (includes plastics);
AttributeValue;TTHXXX;H;Generated resources (includes electricity, renewable energy, or any power/energy delivered through a utility network or provider);
AttributeValue;TTMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;TTXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TTXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TTXXXX;X;Not applicable/undefined;
Group;TRXXXX;Interest rates;"Rate at which interest is paid by a borrower for the use of money that they borrow from a lender.";
Attribute;FirstAttribute;Type of interest rates;;
AttributeValue;TRNXXX;N;Nominal (an interest rate before taking inflation into account);
AttributeValue;TRVXXX;V;Variable (an interest rate that fluctuates over time);
AttributeValue;TRFXXX;F;Fixed (an interest rate that remains fixed for the entire term);
AttributeValue;TRRXXX;R;Real (an interest rate that has been adjusted to remove the effects of inflation);
AttributeValue;TRMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Frequency of calculation;;
AttributeValue;TRXDXX;D;Daily;
AttributeValue;TRXWXX;W;Weekly;
AttributeValue;TRXNXX;N;Monthly;
AttributeValue;TRXQXX;Q;Quarterly;
AttributeValue;TRXSXX;S;Semi-annually;
AttributeValue;TRXAXX;A;Annually;
AttributeValue;TRXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TRXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TRXXXX;X;Not applicable/undefined;
Group;TIXXXX;Indices;"An index provides a representation of the value of its constituents. Indices often serve as barometers for a given market or industry and benchmarks against which financial or economic performance is measured.";
Attribute;FirstAttribute;Asset classes;;
AttributeValue;TIEXXX;E;Equities;
AttributeValue;TIDXXX;D;Debt instruments;
AttributeValue;TIFXXX;F;CIVs;
AttributeValue;TIRXXX;R;Real estate;
AttributeValue;TITXXX;T;Commodities;
AttributeValue;TICXXX;C;Currencies;
AttributeValue;TIMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Weighting types;type of weighting of the financial instruments in the index;
AttributeValue;TIXPXX;P;"Price weighted (market index where each constituent makes up a fraction of the index that is proportional to its price; for a stock market index, this implies that stocks are included in proportions based on their quoted prices)";
AttributeValue;TIXCXX;C;Capitalization weighted (index whose components are weighted according to the total market value of their outstanding shares);
AttributeValue;TIXEXX;E;Equal weighted (an equal-weighted index uses a type of weighting that gives the same weight or importance to each stock in a portfolio or index fund);
AttributeValue;TIXFXX;F;"Modified market capitalization weighted (a modified market cap weighted index is a hybrid between equal weighting and capitalization weighting; it is similar to a general market cap with one main difference: the largest stocks are capped to a percentage of the weight of the total stock index and the excess weight will be redistributed equally among the stocks under that cap)";
AttributeValue;TIXMXX;M;Other weighting (miscellaneous);
Attribute;ThirdAttribute;Index return types;;
AttributeValue;TIXXPX;P;Price return (the price return is the rate of return on an investment portfolio, where the return measure takes into account only the capital appreciation of the portfolio, while the income generated by the assets in the portfolio, in the form of interest and dividends, is ignored);
AttributeValue;TIXXNX;N;Net total return (a net total return is the rate of return on an investment portfolio, where the return measure takes into account all net cash distributions made to the components of an index. Net cash distributions are cash distributions after any withholding tax);
AttributeValue;TIXXGX;G;Gross total return (a gross total return is the rate of return on an investment portfolio, where the return measure takes into account all gross cash distributions made to the components of an index);
AttributeValue;TIXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TIXXXX;X;Not applicable/undefined;
Group;TBXXXX;Baskets;"Group of securities that have been put together for a specific investment purpose.";
Attribute;FirstAttribute;Composition;;
AttributeValue;TBEXXX;E;Equities;
AttributeValue;TBDXXX;D;Debt instruments;
AttributeValue;TBFXXX;F;CIVs;
AttributeValue;TBIXXX;I;Indices;
AttributeValue;TBTXXX;T;Commodities;
AttributeValue;TBCXXX;C;Currencies;
AttributeValue;TBMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;TBXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TBXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TBXXXX;X;Not applicable/undefined;
Group;TDXXXX;Stock dividends;"Relate to the dividend payments of a specific underlying equity stock.";
Attribute;FirstAttribute;Type of equity;;
AttributeValue;TDSXXX;S;Common/ordinary shares;
AttributeValue;TDPXXX;P;Preferred/preference shares;
AttributeValue;TDCXXX;C;Common/ordinary convertible shares;
AttributeValue;TDFXXX;F;Preferred/preference convertible shares;
AttributeValue;TDLXXX;L;Limited partnership units;
AttributeValue;TDKXXX;K;CIVs;
AttributeValue;TDMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;TDXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TDXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TDXXXX;X;Not applicable/undefined;
Group;TMXXXX;Others (miscellaneous);"Referential instruments that do not fit into any of the other referential instrument Groups.";
Attribute;FirstAttribute;Not applicable/undefined;;
AttributeValue;TMXXXX;X;Not applicable/undefined;
Attribute;SecondAttribute;Not applicable/undefined;;
AttributeValue;TMXXXX;X;Not applicable/undefined;
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;TMXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Not applicable/undefined;;
AttributeValue;TMXXXX;X;Not applicable/undefined;
Category;MXXXXX;Others (miscellaneous);Financial instruments that do not fit the above categories as defined.
Group;MCXXXX;Combined instruments;"Packages of different financial instruments issued and/or traded as one single unit (also referred to as staple security). They can be separated during their life cycle and be traded individually. In that case, CFI codes classifying each of the financial instruments involved individually shall be assigned.";
Attribute;FirstAttribute;Components;;
AttributeValue;MCSXXX;S;Combination of shares (with different characteristics);
AttributeValue;MCBXXX;B;Combination of bonds (with different characteristics);
AttributeValue;MCHXXX;H;Share and bond;
AttributeValue;MCAXXX;A;Share and warrant;
AttributeValue;MCWXXX;W;Warrant and warrant (or multiple);
AttributeValue;MCUXXX;U;Fund unit and other components;
AttributeValue;MCMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Ownership/transfer/sales restrictions;the ownership or transfer of the security is subject to special conditions including country-specific restrictions;
AttributeValue;MCXTXX;T;Restrictions;
AttributeValue;MCXUXX;U;Free (unrestricted);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;MCXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;MCXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;MCXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;MCXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;MCXXXM;M;Others (miscellaneous);
Group;MMXXXX;Other assets (miscellaneous);"Other assets which do not meet groupings as defined.";
Attribute;FirstAttribute;Further grouping;;
AttributeValue;MMRXXX;R;Real estate deeds (represent ownership of property);
AttributeValue;MMIXXX;I;Insurance policies;
AttributeValue;MMEXXX;E;Escrow receipts (bank guarantee that an option writer has the underlying security on deposit and that the underlying security is readily available for delivery if the option is exercised);
AttributeValue;MMTXXX;T;Trade finance instruments (assets based on the securitization of the movement of goods and services);
AttributeValue;MMNXXX;N;Carbon credit (certificate or permit representing the right to emit carbon dioxide);
